======================================
Screen run started: Wed Jun 24 12:30:01 UTC 2026
======================================

[auto_screener] Starting screen — 2026-06-24 12:30
[auto_screener] NIFTY 500: 500 stocks
[auto_screener] Current universe: 11 stocks
[auto_screener] Fetching data for 500 stocks...
[kite_fetcher] TRIDENT.NS: 860 trading days loaded (2023-01-02 → 2026-06-23)
[kite_fetcher] JUBLPHARMA.NS: 860 trading days loaded (2023-01-02 → 2026-06-23)
[kite_fetcher] GRSE.NS: 860 trading days loaded (2023-01-02 → 2026-06-23)
[kite_fetcher] JYOTICNC.NS: 603 trading days loaded (2024-01-16 → 2026-06-23)
[kite_fetcher] ANGELONE.NS: 860 trading days loaded (2023-01-02 → 2026-06-23)
[kite_fetcher] RPOWER.NS: 860 trading days loaded (2023-01-02 → 2026-06-23)
[kite_fetcher] TMCV.NS: 151 trading days loaded (2025-11-12 → 2026-06-23)
[kite_fetcher] GRANULES.NS: 860 trading days loaded (2023-01-02 → 2026-06-23)
[kite_fetcher] KPITTECH.NS: 860 trading days loaded (2023-01-02 → 2026-06-23)
[kite_fetcher] ZYDUSWELL.NS: 860 trading days loaded (2023-01-02 → 2026-06-23)
[kite_fetcher] BIOCON.NS: 860 trading days loaded (2023-01-02 → 2026-06-23)
[kite_fetcher] ACC.NS: 860 trading days loaded (2023-01-02 → 2026-06-23)
[kite_fetcher] NAM-INDIA.NS: 860 trading days loaded (2023-01-02 → 2026-06-23)
[kite_fetcher] IRB.NS: 860 trading days loaded (2023-01-02 → 2026-06-23)
[kite_fetcher] AEGISVOPAK.NS: 263 trading days loaded (2025-06-02 → 2026-06-23)
[kite_fetcher] TATAELXSI.NS: 860 trading days loaded (2023-01-02 → 2026-06-23)
[kite_fetcher] SCHNEIDER.NS: 860 trading days loaded (2023-01-02 → 2026-06-23)
[kite_fetcher] APTUS.NS: 860 trading days loaded (2023-01-02 → 2026-06-23)
[kite_fetcher] GODIGIT.NS: 517 trading days loaded (2024-05-23 → 2026-06-23)
[kite_fetcher] BPCL.NS: 860 trading days loaded (2023-01-02 → 2026-06-23)
[kite_fetcher] TITAGARH.NS: 860 trading days loaded (2023-01-02 → 2026-06-23)
[kite_fetcher] AUROPHARMA.NS: 860 trading days loaded (2023-01-02 → 2026-06-23)
[kite_fetcher] IOC.NS: 860 trading days loaded (2023-01-02 → 2026-06-23)
[kite_fetcher] JKCEMENT.NS: 860 trading days loaded (2023-01-02 → 2026-06-23)
[kite_fetcher] USHAMART.NS: 860 trading days loaded (2023-01-02 → 2026-06-23)
[kite_fetcher] ABCAPITAL.NS: 860 trading days loaded (2023-01-02 → 2026-06-23)
[kite_fetcher] TORNTPOWER.NS: 860 trading days loaded (2023-01-02 → 2026-06-23)
[kite_fetcher] ABREL.NS: 860 trading days loaded (2023-01-02 → 2026-06-23)
[kite_fetcher] GRASIM.NS: 860 trading days loaded (2023-01-02 → 2026-06-23)
[kite_fetcher] GALLANTT.NS: 860 trading days loaded (2023-01-02 → 2026-06-23)
[kite_fetcher] POONAWALLA.NS: 860 trading days loaded (2023-01-02 → 2026-06-23)
[kite_fetcher] ESCORTS.NS: 860 trading days loaded (2023-01-02 → 2026-06-23)
