======================================
Screen run started: Sun Jul  5 12:30:01 UTC 2026
======================================

[auto_screener] Starting screen — 2026-07-05 12:30
[auto_screener] NIFTY 500: 500 stocks (live, cache updated)
[auto_screener] Current universe: 8 stocks
[auto_screener] Fetching data for 500 stocks (rate-limited to 55 req/min)...
[kite_fetcher] GODREJPROP.NS: 867 trading days loaded (2023-01-02 → 2026-07-03)
[kite_fetcher] BHARTIHEXA.NS: 551 trading days loaded (2024-04-12 → 2026-07-03)
[kite_fetcher] BELRISE.NS: 273 trading days loaded (2025-05-28 → 2026-07-03)
[kite_fetcher] JSWDULUX.NS: 867 trading days loaded (2023-01-02 → 2026-07-03)
[kite_fetcher] STARHEALTH.NS: 867 trading days loaded (2023-01-02 → 2026-07-03)
[kite_fetcher] UNOMINDA.NS: 867 trading days loaded (2023-01-02 → 2026-07-03)
[kite_fetcher] JYOTICNC.NS: 610 trading days loaded (2024-01-16 → 2026-07-03)
[kite_fetcher] MAZDOCK.NS: 867 trading days loaded (2023-01-02 → 2026-07-03)
[kite_fetcher] HUDCO.NS: 867 trading days loaded (2023-01-02 → 2026-07-03)
[kite_fetcher] NMDC.NS: 867 trading days loaded (2023-01-02 → 2026-07-03)
[kite_fetcher] COLPAL.NS: 867 trading days loaded (2023-01-02 → 2026-07-03)
[kite_fetcher] CIPLA.NS: 867 trading days loaded (2023-01-02 → 2026-07-03)
[kite_fetcher] APTUS.NS: 867 trading days loaded (2023-01-02 → 2026-07-03)
[kite_fetcher] TATACOMM.NS: 867 trading days loaded (2023-01-02 → 2026-07-03)
[kite_fetcher] ANANTRAJ.NS: 867 trading days loaded (2023-01-02 → 2026-07-03)
[kite_fetcher] SUNPHARMA.NS: 867 trading days loaded (2023-01-02 → 2026-07-03)
[kite_fetcher] GLENMARK.NS: 867 trading days loaded (2023-01-02 → 2026-07-03)
[kite_fetcher] SAMMAANCAP.NS: 867 trading days loaded (2023-01-02 → 2026-07-03)
[kite_fetcher] LENSKART.NS: 160 trading days loaded (2025-11-10 → 2026-07-03)
[kite_fetcher] CPPLUS.NS: 224 trading days loaded (2025-08-05 → 2026-07-03)
[kite_fetcher] 360ONE.NS: 867 trading days loaded (2023-01-02 → 2026-07-03)
[kite_fetcher] MGL.NS: 867 trading days loaded (2023-01-02 → 2026-07-03)
[kite_fetcher] JINDALSTEL.NS: 867 trading days loaded (2023-01-02 → 2026-07-03)
[kite_fetcher] BERGEPAINT.NS: 867 trading days loaded (2023-01-02 → 2026-07-03)
[kite_fetcher] FACT.NS: 867 trading days loaded (2023-01-02 → 2026-07-03)
[kite_fetcher] HBLENGINE.NS: 867 trading days loaded (2023-01-02 → 2026-07-03)
[kite_fetcher] CROMPTON.NS: 867 trading days loaded (2023-01-02 → 2026-07-03)
[kite_fetcher] CHENNPETRO.NS: 867 trading days loaded (2023-01-02 → 2026-07-03)
[kite_fetcher] HDFCAMC.NS: 867 trading days loaded (2023-01-02 → 2026-07-03)
[kite_fetcher] JUBLFOOD.NS: 867 trading days loaded (2023-01-02 → 2026-07-03)
[kite_fetcher] NAUKRI.NS: 867 trading days loaded (2023-01-02 → 2026-07-03)
[kite_fetcher] MAPMYINDIA.NS: 867 trading days loaded (2023-01-02 → 2026-07-03)
[kite_fetcher] JSWCEMENT.NS: 217 trading days loaded (2025-08-14 → 2026-07-03)
[kite_fetcher] EXIDEIND.NS: 867 trading days loaded (2023-01-02 → 2026-07-03)
[auto_screener]   100/500 attempted, 88 valid, 0 skipped (0.0%)
[kite_fetcher] CENTRALBK.NS: 867 trading days loaded (2023-01-02 → 2026-07-03)
[kite_fetcher] NEWGEN.NS: 867 trading days loaded (2023-01-02 → 2026-07-03)
[kite_fetcher] TBOTEK.NS: 530 trading days loaded (2024-05-15 → 2026-07-03)
[kite_fetcher] HINDUNILVR.NS: 867 trading days loaded (2023-01-02 → 2026-07-03)
[kite_fetcher] NAVA.NS: 867 trading days loaded (2023-01-02 → 2026-07-03)
[kite_fetcher] JSWSTEEL.NS: 867 trading days loaded (2023-01-02 → 2026-07-03)
[kite_fetcher] AAVAS.NS: 867 trading days loaded (2023-01-02 → 2026-07-03)
[kite_fetcher] NH.NS: 867 trading days loaded (2023-01-02 → 2026-07-03)
[kite_fetcher] ASHOKLEY.NS: 867 trading days loaded (2023-01-02 → 2026-07-03)
[kite_fetcher] MSUMI.NS: 867 trading days loaded (2023-01-02 → 2026-07-03)
[kite_fetcher] INDGN.NS: 532 trading days loaded (2024-05-13 → 2026-07-03)
[kite_fetcher] SAREGAMA.NS: 867 trading days loaded (2023-01-02 → 2026-07-03)
[kite_fetcher] LICHSGFIN.NS: 867 trading days loaded (2023-01-02 → 2026-07-03)
[kite_fetcher] ONGC.NS: 867 trading days loaded (2023-01-02 → 2026-07-03)
[kite_fetcher] SONATSOFTW.NS: 867 trading days loaded (2023-01-02 → 2026-07-03)
[kite_fetcher] CARTRADE.NS: 867 trading days loaded (2023-01-02 → 2026-07-03)
[kite_fetcher] INTELLECT.NS: 867 trading days loaded (2023-01-02 → 2026-07-03)
[kite_fetcher] COALINDIA.NS: 867 trading days loaded (2023-01-02 → 2026-07-03)
[kite_fetcher] GRAVITA.NS: 867 trading days loaded (2023-01-02 → 2026-07-03)
[kite_fetcher] JBMA.NS: 867 trading days loaded (2023-01-02 → 2026-07-03)
[kite_fetcher] NTPCGREEN.NS: 396 trading days loaded (2024-11-27 → 2026-07-03)
[kite_fetcher] MAHABANK.NS: 867 trading days loaded (2023-01-02 → 2026-07-03)
[kite_fetcher] J&KBANK.NS: 867 trading days loaded (2023-01-02 → 2026-07-03)
[kite_fetcher] SWIGGY.NS: 404 trading days loaded (2024-11-13 → 2026-07-03)
[kite_fetcher] WAAREEENER.NS: 416 trading days loaded (2024-10-28 → 2026-07-03)
[kite_fetcher] POWERGRID.NS: 867 trading days loaded (2023-01-02 → 2026-07-03)
[kite_fetcher] NESTLEIND.NS: 867 trading days loaded (2023-01-02 → 2026-07-03)
[kite_fetcher] BANDHANBNK.NS: 867 trading days loaded (2023-01-02 → 2026-07-03)
[kite_fetcher] CAMS.NS: 867 trading days loaded (2023-01-02 → 2026-07-03)
[kite_fetcher] LEMONTREE.NS: 867 trading days loaded (2023-01-02 → 2026-07-03)
[kite_fetcher] ACMESOLAR.NS: 404 trading days loaded (2024-11-13 → 2026-07-03)
[kite_fetcher] SCHNEIDER.NS: 867 trading days loaded (2023-01-02 → 2026-07-03)
[kite_fetcher] IPCALAB.NS: 867 trading days loaded (2023-01-02 → 2026-07-03)
[kite_fetcher] CGPOWER.NS: 867 trading days loaded (2023-01-02 → 2026-07-03)
[kite_fetcher] RBLBANK.NS: 867 trading days loaded (2023-01-02 → 2026-07-03)
[kite_fetcher] ANGELONE.NS: 867 trading days loaded (2023-01-02 → 2026-07-03)
[kite_fetcher] MARUTI.NS: 867 trading days loaded (2023-01-02 → 2026-07-03)
[kite_fetcher] HAL.NS: 867 trading days loaded (2023-01-02 → 2026-07-03)
[kite_fetcher] NSLNISP.NS: 833 trading days loaded (2023-02-20 → 2026-07-03)
[kite_fetcher] CONCOR.NS: 867 trading days loaded (2023-01-02 → 2026-07-03)
[kite_fetcher] GROWW.NS: 158 trading days loaded (2025-11-12 → 2026-07-03)
[kite_fetcher] IEX.NS: 867 trading days loaded (2023-01-02 → 2026-07-03)
[kite_fetcher] GILLETTE.NS: 867 trading days loaded (2023-01-02 → 2026-07-03)
[kite_fetcher] UTIAMC.NS: 867 trading days loaded (2023-01-02 → 2026-07-03)
[kite_fetcher] COROMANDEL.NS: 867 trading days loaded (2023-01-02 → 2026-07-03)
[kite_fetcher] ABLBL.NS: 255 trading days loaded (2025-06-23 → 2026-07-03)
[kite_fetcher] SAILIFE.NS: 381 trading days loaded (2024-12-18 → 2026-07-03)
[kite_fetcher] ABDL.NS: 497 trading days loaded (2024-07-02 → 2026-07-03)
[kite_fetcher] TTML.NS: 867 trading days loaded (2023-01-02 → 2026-07-03)
[kite_fetcher] TITAN.NS: 867 trading days loaded (2023-01-02 → 2026-07-03)
[auto_screener]   150/500 attempted, 128 valid, 0 skipped (0.0%)
[kite_fetcher] OFSS.NS: 867 trading days loaded (2023-01-02 → 2026-07-03)
[kite_fetcher] ADANIPORTS.NS: 867 trading days loaded (2023-01-02 → 2026-07-03)
[kite_fetcher] JSWENERGY.NS: 867 trading days loaded (2023-01-02 → 2026-07-03)
[kite_fetcher] KARURVYSYA.NS: 867 trading days loaded (2023-01-02 → 2026-07-03)
[kite_fetcher] ABREL.NS: 867 trading days loaded (2023-01-02 → 2026-07-03)
[kite_fetcher] NATCOPHARM.NS: 867 trading days loaded (2023-01-02 → 2026-07-03)
[kite_fetcher] HINDCOPPER.NS: 867 trading days loaded (2023-01-02 → 2026-07-03)
[kite_fetcher] ECLERX.NS: 867 trading days loaded (2023-01-02 → 2026-07-03)
[kite_fetcher] TEGA.NS: 867 trading days loaded (2023-01-02 → 2026-07-03)
[kite_fetcher] FLUOROCHEM.NS: 867 trading days loaded (2023-01-02 → 2026-07-03)
[kite_fetcher] SONACOMS.NS: 867 trading days loaded (2023-01-02 → 2026-07-03)
[kite_fetcher] BALRAMCHIN.NS: 867 trading days loaded (2023-01-02 → 2026-07-03)
[kite_fetcher] DLF.NS: 867 trading days loaded (2023-01-02 → 2026-07-03)
[kite_fetcher] VIJAYA.NS: 867 trading days loaded (2023-01-02 → 2026-07-03)
[kite_fetcher] CUMMINSIND.NS: 867 trading days loaded (2023-01-02 → 2026-07-03)
[kite_fetcher] PFIZER.NS: 867 trading days loaded (2023-01-02 → 2026-07-03)
[kite_fetcher] LUPIN.NS: 867 trading days loaded (2023-01-02 → 2026-07-03)
[kite_fetcher] BATAINDIA.NS: 867 trading days loaded (2023-01-02 → 2026-07-03)
[kite_fetcher] BHARATFORG.NS: 867 trading days loaded (2023-01-02 → 2026-07-03)
[kite_fetcher] SCI.NS: 867 trading days loaded (2023-01-02 → 2026-07-03)
[kite_fetcher] SIGNATURE.NS: 685 trading days loaded (2023-09-27 → 2026-07-03)
[kite_fetcher] UBL.NS: 867 trading days loaded (2023-01-02 → 2026-07-03)
[kite_fetcher] MOTILALOFS.NS: 867 trading days loaded (2023-01-02 → 2026-07-03)
[kite_fetcher] TORNTPOWER.NS: 867 trading days loaded (2023-01-02 → 2026-07-03)
[kite_fetcher] NHPC.NS: 867 trading days loaded (2023-01-02 → 2026-07-03)
[kite_fetcher] SRF.NS: 867 trading days loaded (2023-01-02 → 2026-07-03)
[kite_fetcher] CHAMBLFERT.NS: 867 trading days loaded (2023-01-02 → 2026-07-03)
[kite_fetcher] BPCL.NS: 867 trading days loaded (2023-01-02 → 2026-07-03)
[kite_fetcher] LODHA.NS: 867 trading days loaded (2023-01-02 → 2026-07-03)
[kite_fetcher] DABUR.NS: 867 trading days loaded (2023-01-02 → 2026-07-03)
[kite_fetcher] GALLANTT.NS: 867 trading days loaded (2023-01-02 → 2026-07-03)
[kite_fetcher] AFCONS.NS: 411 trading days loaded (2024-11-04 → 2026-07-03)
[kite_fetcher] APOLLOHOSP.NS: 867 trading days loaded (2023-01-02 → 2026-07-03)
[kite_fetcher] TRITURBINE.NS: 867 trading days loaded (2023-01-02 → 2026-07-03)
[kite_fetcher] MPHASIS.NS: 867 trading days loaded (2023-01-02 → 2026-07-03)
[kite_fetcher] CANFINHOME.NS: 867 trading days loaded (2023-01-02 → 2026-07-03)
[kite_fetcher] DEEPAKNTR.NS: 867 trading days loaded (2023-01-02 → 2026-07-03)
[kite_fetcher] ARE&M.NS: 867 trading days loaded (2023-01-02 → 2026-07-03)
[kite_fetcher] CAPLIPOINT.NS: 867 trading days loaded (2023-01-02 → 2026-07-03)
[kite_fetcher] LLOYDSME.NS: 735 trading days loaded (2023-07-17 → 2026-07-03)
[kite_fetcher] AIAENG.NS: 867 trading days loaded (2023-01-02 → 2026-07-03)
[kite_fetcher] KALYANKJIL.NS: 867 trading days loaded (2023-01-02 → 2026-07-03)
[kite_fetcher] COHANCE.NS: 867 trading days loaded (2023-01-02 → 2026-07-03)
[kite_fetcher] REDINGTON.NS: 867 trading days loaded (2023-01-02 → 2026-07-03)
[kite_fetcher] NUVAMA.NS: 686 trading days loaded (2023-09-26 → 2026-07-03)
[kite_fetcher] PIRAMALFIN.NS: 161 trading days loaded (2025-11-07 → 2026-07-03)
[kite_fetcher] DELHIVERY.NS: 867 trading days loaded (2023-01-02 → 2026-07-03)
[kite_fetcher] TATACONSUM.NS: 867 trading days loaded (2023-01-02 → 2026-07-03)
[kite_fetcher] ITCHOTELS.NS: 352 trading days loaded (2025-01-29 → 2026-07-03)
[kite_fetcher] IREDA.NS: 643 trading days loaded (2023-11-29 → 2026-07-03)
[auto_screener]   200/500 attempted, 171 valid, 0 skipped (0.0%)
[kite_fetcher] RAMCOCEM.NS: 867 trading days loaded (2023-01-02 → 2026-07-03)
[kite_fetcher] ABFRL.NS: 867 trading days loaded (2023-01-02 → 2026-07-03)
[kite_fetcher] RADICO.NS: 867 trading days loaded (2023-01-02 → 2026-07-03)
[kite_fetcher] RAILTEL.NS: 867 trading days loaded (2023-01-02 → 2026-07-03)
[kite_fetcher] BRIGADE.NS: 867 trading days loaded (2023-01-02 → 2026-07-03)
[kite_fetcher] KIMS.NS: 867 trading days loaded (2023-01-02 → 2026-07-03)
[kite_fetcher] PCBL.NS: 867 trading days loaded (2023-01-02 → 2026-07-03)
[kite_fetcher] ICICIBANK.NS: 867 trading days loaded (2023-01-02 → 2026-07-03)
[kite_fetcher] RKFORGE.NS: 867 trading days loaded (2023-01-02 → 2026-07-03)
[kite_fetcher] UNIONBANK.NS: 867 trading days loaded (2023-01-02 → 2026-07-03)
