======================================
Screen run started: Wed Jul  1 12:30:01 UTC 2026
======================================

[auto_screener] Starting screen — 2026-07-01 12:30
[auto_screener] NIFTY 500: 500 stocks
[auto_screener] Current universe: 9 stocks
[auto_screener] Fetching data for 500 stocks...
[kite_fetcher] SUNPHARMA.NS: 864 trading days loaded (2023-01-02 → 2026-06-30)
[kite_fetcher] CHALET.NS: 864 trading days loaded (2023-01-02 → 2026-06-30)
[kite_fetcher] RELIANCE.NS: 864 trading days loaded (2023-01-02 → 2026-06-30)
[kite_fetcher] SAMMAANCAP.NS: 864 trading days loaded (2023-01-02 → 2026-06-30)
[kite_fetcher] AJANTPHARM.NS: 864 trading days loaded (2023-01-02 → 2026-06-30)
[kite_fetcher] IREDA.NS: 640 trading days loaded (2023-11-29 → 2026-06-30)
[kite_fetcher] JMFINANCIL.NS: 864 trading days loaded (2023-01-02 → 2026-06-30)
[kite_fetcher] NTPCGREEN.NS: 393 trading days loaded (2024-11-27 → 2026-06-30)
[kite_fetcher] HINDZINC.NS: 864 trading days loaded (2023-01-02 → 2026-06-30)
[kite_fetcher] TATATECH.NS: 639 trading days loaded (2023-11-30 → 2026-06-30)
[kite_fetcher] BAJAJ-AUTO.NS: 864 trading days loaded (2023-01-02 → 2026-06-30)
[kite_fetcher] SRF.NS: 864 trading days loaded (2023-01-02 → 2026-06-30)
[kite_fetcher] TMPV.NS: 864 trading days loaded (2023-01-02 → 2026-06-30)
[kite_fetcher] CARBORUNIV.NS: 864 trading days loaded (2023-01-02 → 2026-06-30)
[kite_fetcher] NSLNISP.NS: 830 trading days loaded (2023-02-20 → 2026-06-30)
[kite_fetcher] GVT&D.NS: 864 trading days loaded (2023-01-02 → 2026-06-30)
[kite_fetcher] ATUL.NS: 864 trading days loaded (2023-01-02 → 2026-06-30)
[kite_fetcher] WAAREEENER.NS: 413 trading days loaded (2024-10-28 → 2026-06-30)
[kite_fetcher] ULTRACEMCO.NS: 864 trading days loaded (2023-01-02 → 2026-06-30)
[kite_fetcher] CHENNPETRO.NS: 864 trading days loaded (2023-01-02 → 2026-06-30)
[kite_fetcher] BAJAJHLDNG.NS: 864 trading days loaded (2023-01-02 → 2026-06-30)
[kite_fetcher] BEL.NS: 864 trading days loaded (2023-01-02 → 2026-06-30)
[kite_fetcher] GRSE.NS: 864 trading days loaded (2023-01-02 → 2026-06-30)
[kite_fetcher] TRITURBINE.NS: 864 trading days loaded (2023-01-02 → 2026-06-30)
[kite_fetcher] BHARTIARTL.NS: 864 trading days loaded (2023-01-02 → 2026-06-30)
[kite_fetcher] AUROPHARMA.NS: 864 trading days loaded (2023-01-02 → 2026-06-30)
[kite_fetcher] CANFINHOME.NS: 864 trading days loaded (2023-01-02 → 2026-06-30)
[kite_fetcher] EXIDEIND.NS: 864 trading days loaded (2023-01-02 → 2026-06-30)
[kite_fetcher] BAYERCROP.NS: 864 trading days loaded (2023-01-02 → 2026-06-30)
[kite_fetcher] CRISIL.NS: 864 trading days loaded (2023-01-02 → 2026-06-30)
[kite_fetcher] COLPAL.NS: 864 trading days loaded (2023-01-02 → 2026-06-30)
[kite_fetcher] HEXT.NS: 333 trading days loaded (2025-02-19 → 2026-06-30)
[kite_fetcher] MARICO.NS: 864 trading days loaded (2023-01-02 → 2026-06-30)
[kite_fetcher] RRKABEL.NS: 687 trading days loaded (2023-09-20 → 2026-06-30)
[auto_screener]   100/500 fetched, 87 valid
[kite_fetcher] JPPOWER.NS: 864 trading days loaded (2023-01-02 → 2026-06-30)
[kite_fetcher] IDBI.NS: 864 trading days loaded (2023-01-02 → 2026-06-30)
[kite_fetcher] TBOTEK.NS: 527 trading days loaded (2024-05-15 → 2026-06-30)
[kite_fetcher] TATACOMM.NS: 864 trading days loaded (2023-01-02 → 2026-06-30)
[kite_fetcher] IRCON.NS: 864 trading days loaded (2023-01-02 → 2026-06-30)
[kite_fetcher] DEEPAKNTR.NS: 864 trading days loaded (2023-01-02 → 2026-06-30)
[kite_fetcher] BPCL.NS: 864 trading days loaded (2023-01-02 → 2026-06-30)
[kite_fetcher] HYUNDAI.NS: 417 trading days loaded (2024-10-22 → 2026-06-30)
[kite_fetcher] DRREDDY.NS: 864 trading days loaded (2023-01-02 → 2026-06-30)
[kite_fetcher] SAPPHIRE.NS: 864 trading days loaded (2023-01-02 → 2026-06-30)
[kite_fetcher] PNBHOUSING.NS: 864 trading days loaded (2023-01-02 → 2026-06-30)
[kite_fetcher] UBL.NS: 864 trading days loaded (2023-01-02 → 2026-06-30)
[kite_fetcher] INDIANB.NS: 864 trading days loaded (2023-01-02 → 2026-06-30)
[kite_fetcher] IPCALAB.NS: 864 trading days loaded (2023-01-02 → 2026-06-30)
[kite_fetcher] PATANJALI.NS: 864 trading days loaded (2023-01-02 → 2026-06-30)
[kite_fetcher] CHOICEIN.NS: 864 trading days loaded (2023-01-02 → 2026-06-30)
[kite_fetcher] COCHINSHIP.NS: 864 trading days loaded (2023-01-02 → 2026-06-30)
[kite_fetcher] GODFRYPHLP.NS: 864 trading days loaded (2023-01-02 → 2026-06-30)
[kite_fetcher] VMM.NS: 378 trading days loaded (2024-12-18 → 2026-06-30)
[kite_fetcher] TCS.NS: 864 trading days loaded (2023-01-02 → 2026-06-30)
[kite_fetcher] VEDL.NS: 864 trading days loaded (2023-01-02 → 2026-06-30)
[kite_fetcher] ITC.NS: 864 trading days loaded (2023-01-02 → 2026-06-30)
[kite_fetcher] TENNIND.NS: 150 trading days loaded (2025-11-19 → 2026-06-30)
[kite_fetcher] MEESHO.NS: 135 trading days loaded (2025-12-10 → 2026-06-30)
[kite_fetcher] GRASIM.NS: 864 trading days loaded (2023-01-02 → 2026-06-30)
[kite_fetcher] LTF.NS: 864 trading days loaded (2023-01-02 → 2026-06-30)
[kite_fetcher] INDUSTOWER.NS: 864 trading days loaded (2023-01-02 → 2026-06-30)
[kite_fetcher] TVSMOTOR.NS: 864 trading days loaded (2023-01-02 → 2026-06-30)
[kite_fetcher] DLF.NS: 864 trading days loaded (2023-01-02 → 2026-06-30)
[kite_fetcher] PETRONET.NS: 864 trading days loaded (2023-01-02 → 2026-06-30)
[kite_fetcher] DMART.NS: 864 trading days loaded (2023-01-02 → 2026-06-30)
[kite_fetcher] UCOBANK.NS: 864 trading days loaded (2023-01-02 → 2026-06-30)
[kite_fetcher] ABDL.NS: 494 trading days loaded (2024-07-02 → 2026-06-30)
[kite_fetcher] FIRSTCRY.NS: 465 trading days loaded (2024-08-13 → 2026-06-30)
[kite_fetcher] TITAN.NS: 864 trading days loaded (2023-01-02 → 2026-06-30)
[kite_fetcher] TARIL.NS: 864 trading days loaded (2023-01-02 → 2026-06-30)
[kite_fetcher] FEDERALBNK.NS: 864 trading days loaded (2023-01-02 → 2026-06-30)
[kite_fetcher] ZENTEC.NS: 864 trading days loaded (2023-01-02 → 2026-06-30)
[kite_fetcher] MAPMYINDIA.NS: 864 trading days loaded (2023-01-02 → 2026-06-30)
[kite_fetcher] EICHERMOT.NS: 864 trading days loaded (2023-01-02 → 2026-06-30)
[kite_fetcher] GODREJPROP.NS: 864 trading days loaded (2023-01-02 → 2026-06-30)
[kite_fetcher] NAM-INDIA.NS: 864 trading days loaded (2023-01-02 → 2026-06-30)
[kite_fetcher] POWERGRID.NS: 864 trading days loaded (2023-01-02 → 2026-06-30)
[kite_fetcher] ICICIAMC.NS: 128 trading days loaded (2025-12-19 → 2026-06-30)
[kite_fetcher] STARHEALTH.NS: 864 trading days loaded (2023-01-02 → 2026-06-30)
[kite_fetcher] DELHIVERY.NS: 864 trading days loaded (2023-01-02 → 2026-06-30)
[kite_fetcher] COHANCE.NS: 864 trading days loaded (2023-01-02 → 2026-06-30)
[kite_fetcher] NBCC.NS: 864 trading days loaded (2023-01-02 → 2026-06-30)
[kite_fetcher] CGCL.NS: 864 trading days loaded (2023-01-02 → 2026-06-30)
[kite_fetcher] CDSL.NS: 864 trading days loaded (2023-01-02 → 2026-06-30)
[auto_screener]   150/500 fetched, 129 valid
[kite_fetcher] CUB.NS: 864 trading days loaded (2023-01-02 → 2026-06-30)
[kite_fetcher] ANANTRAJ.NS: 864 trading days loaded (2023-01-02 → 2026-06-30)
[kite_fetcher] NAUKRI.NS: 864 trading days loaded (2023-01-02 → 2026-06-30)
[kite_fetcher] BBTC.NS: 864 trading days loaded (2023-01-02 → 2026-06-30)
[kite_fetcher] LTM.NS: 864 trading days loaded (2023-01-02 → 2026-06-30)
[kite_fetcher] GLAND.NS: 864 trading days loaded (2023-01-02 → 2026-06-30)
[kite_fetcher] JSWSTEEL.NS: 864 trading days loaded (2023-01-02 → 2026-06-30)
[kite_fetcher] NATCOPHARM.NS: 864 trading days loaded (2023-01-02 → 2026-06-30)
[kite_fetcher] KOTAKBANK.NS: 864 trading days loaded (2023-01-02 → 2026-06-30)
[kite_fetcher] SAIL.NS: 864 trading days loaded (2023-01-02 → 2026-06-30)
[kite_fetcher] TATACHEM.NS: 864 trading days loaded (2023-01-02 → 2026-06-30)
[kite_fetcher] SIEMENS.NS: 864 trading days loaded (2023-01-02 → 2026-06-30)
[kite_fetcher] UTIAMC.NS: 864 trading days loaded (2023-01-02 → 2026-06-30)
[kite_fetcher] NLCINDIA.NS: 864 trading days loaded (2023-01-02 → 2026-06-30)
[kite_fetcher] GRANULES.NS: 864 trading days loaded (2023-01-02 → 2026-06-30)
[kite_fetcher] BERGEPAINT.NS: 864 trading days loaded (2023-01-02 → 2026-06-30)
[kite_fetcher] LODHA.NS: 864 trading days loaded (2023-01-02 → 2026-06-30)
[kite_fetcher] PWL.NS: 151 trading days loaded (2025-11-18 → 2026-06-30)
[kite_fetcher] LENSKART.NS: 157 trading days loaded (2025-11-10 → 2026-06-30)
[kite_fetcher] SAILIFE.NS: 378 trading days loaded (2024-12-18 → 2026-06-30)
[kite_fetcher] LEMONTREE.NS: 864 trading days loaded (2023-01-02 → 2026-06-30)
[kite_fetcher] MARUTI.NS: 864 trading days loaded (2023-01-02 → 2026-06-30)
[kite_fetcher] IIFL.NS: 864 trading days loaded (2023-01-02 → 2026-06-30)
[kite_fetcher] TECHNOE.NS: 864 trading days loaded (2023-01-02 → 2026-06-30)
[kite_fetcher] FORTIS.NS: 864 trading days loaded (2023-01-02 → 2026-06-30)
[kite_fetcher] MMTC.NS: 864 trading days loaded (2023-01-02 → 2026-06-30)
[kite_fetcher] ELGIEQUIP.NS: 864 trading days loaded (2023-01-02 → 2026-06-30)
[kite_fetcher] BLUEDART.NS: 864 trading days loaded (2023-01-02 → 2026-06-30)
[kite_fetcher] SYRMA.NS: 864 trading days loaded (2023-01-02 → 2026-06-30)
[kite_fetcher] CCL.NS: 864 trading days loaded (2023-01-02 → 2026-06-30)
[kite_fetcher] TATACAP.NS: 175 trading days loaded (2025-10-13 → 2026-06-30)
[kite_fetcher] WELSPUNLIV.NS: 864 trading days loaded (2023-01-02 → 2026-06-30)
[kite_fetcher] GROWW.NS: 155 trading days loaded (2025-11-12 → 2026-06-30)
[kite_fetcher] INFY.NS: 864 trading days loaded (2023-01-02 → 2026-06-30)
[kite_fetcher] LTTS.NS: 864 trading days loaded (2023-01-02 → 2026-06-30)
[kite_fetcher] MAZDOCK.NS: 864 trading days loaded (2023-01-02 → 2026-06-30)
[kite_fetcher] PRESTIGE.NS: 864 trading days loaded (2023-01-02 → 2026-06-30)
[kite_fetcher] FLUOROCHEM.NS: 864 trading days loaded (2023-01-02 → 2026-06-30)
[kite_fetcher] AMBUJACEM.NS: 864 trading days loaded (2023-01-02 → 2026-06-30)
[kite_fetcher] BANKINDIA.NS: 864 trading days loaded (2023-01-02 → 2026-06-30)
[kite_fetcher] HCLTECH.NS: 864 trading days loaded (2023-01-02 → 2026-06-30)
[kite_fetcher] KALYANKJIL.NS: 864 trading days loaded (2023-01-02 → 2026-06-30)
[kite_fetcher] ONESOURCE.NS: 352 trading days loaded (2025-01-24 → 2026-06-30)
[kite_fetcher] CYIENT.NS: 864 trading days loaded (2023-01-02 → 2026-06-30)
[kite_fetcher] PPLPHARMA.NS: 864 trading days loaded (2023-01-02 → 2026-06-30)
[kite_fetcher] NAVINFLUOR.NS: 864 trading days loaded (2023-01-02 → 2026-06-30)
[kite_fetcher] JSWCEMENT.NS: 214 trading days loaded (2025-08-14 → 2026-06-30)
[kite_fetcher] HOMEFIRST.NS: 864 trading days loaded (2023-01-02 → 2026-06-30)
[kite_fetcher] ETERNAL.NS: 864 trading days loaded (2023-01-02 → 2026-06-30)
[kite_fetcher] PTCIL.NS: 757 trading days loaded (2023-06-09 → 2026-06-30)
[auto_screener]   200/500 fetched, 172 valid
[kite_fetcher] JSWDULUX.NS: 864 trading days loaded (2023-01-02 → 2026-06-30)
[kite_fetcher] WHIRLPOOL.NS: 864 trading days loaded (2023-01-02 → 2026-06-30)
[kite_fetcher] GILLETTE.NS: 864 trading days loaded (2023-01-02 → 2026-06-30)
[kite_fetcher] FORCEMOT.NS: 788 trading days loaded (2023-01-02 → 2026-06-30)
[kite_fetcher] CRAFTSMAN.NS: 864 trading days loaded (2023-01-02 → 2026-06-30)
[kite_fetcher] HAL.NS: 864 trading days loaded (2023-01-02 → 2026-06-30)
[kite_fetcher] 360ONE.NS: 864 trading days loaded (2023-01-02 → 2026-06-30)
[kite_fetcher] GODREJCP.NS: 864 trading days loaded (2023-01-02 → 2026-06-30)
[kite_fetcher] ONGC.NS: 864 trading days loaded (2023-01-02 → 2026-06-30)
[kite_fetcher] FIVESTAR.NS: 864 trading days loaded (2023-01-02 → 2026-06-30)
[kite_fetcher] RAILTEL.NS: 864 trading days loaded (2023-01-02 → 2026-06-30)
[kite_fetcher] SHREECEM.NS: 864 trading days loaded (2023-01-02 → 2026-06-30)
[kite_fetcher] BDL.NS: 864 trading days loaded (2023-01-02 → 2026-06-30)
[kite_fetcher] PAYTM.NS: 864 trading days loaded (2023-01-02 → 2026-06-30)
[kite_fetcher] ZENSARTECH.NS: 864 trading days loaded (2023-01-02 → 2026-06-30)
[kite_fetcher] TRENT.NS: 864 trading days loaded (2023-01-02 → 2026-06-30)
