,TMPV.NS,WHIRLPOOL.NS,SIEMENS.NS,BAJAJ-AUTO.NS,NEWGEN.NS,JKTYRE.NS,BSOFT.NS,RPOWER.NS
TMPV.NS,1.0,0.2738207598218725,0.3051392657855755,0.33612282968627344,0.21887254836901907,0.3546049022049611,0.31049078598406804,0.24097173048657736
WHIRLPOOL.NS,0.2738207598218725,1.0,0.1661549216117869,0.16607513891450584,0.15424695554614246,0.20090467082276703,0.19857021253540905,0.1854464836916082
SIEMENS.NS,0.3051392657855755,0.1661549216117869,1.0,0.27714139405526106,0.2025660957858269,0.35969315091684667,0.28715418463476383,0.30019505081944925
BAJAJ-AUTO.NS,0.33612282968627344,0.16607513891450584,0.27714139405526106,1.0,0.1556498692113102,0.28137256177634296,0.2914368783132143,0.16059716819522923
NEWGEN.NS,0.21887254836901907,0.15424695554614246,0.2025660957858269,0.1556498692113102,1.0,0.2920255759002015,0.2704891870491753,0.1797903938118372
JKTYRE.NS,0.3546049022049611,0.20090467082276703,0.35969315091684667,0.28137256177634296,0.2920255759002015,1.0,0.3363881158622788,0.27886130600289677
BSOFT.NS,0.31049078598406804,0.19857021253540905,0.28715418463476383,0.2914368783132143,0.2704891870491753,0.3363881158622788,1.0,0.2186738771065088
RPOWER.NS,0.24097173048657736,0.1854464836916082,0.30019505081944925,0.16059716819522923,0.1797903938118372,0.27886130600289677,0.2186738771065088,1.0
